size,room,year,floor,top_floor,price
62,2,2016,15,18,21700000
72,4,1974,4,5,20900000
33,1,1979,4,5,9900000
30,1,1962,1,4,10000000
62,2,1977,3,5,19500000
17,1,1982,5,5,5700000
40,1,1978,7,9,17600000
31,1,1970,4,4,11500000
52,2,1980,4,5,14500000
54,2,1983,5,9,14300000
155,3,2013,14,17,35500000
70,2,2015,3,16,29500000
20,1,2014,5,9,8000000
45,2,1977,5,5,13800000
50,1,2011,5,9,15500000
72,4,1974,4,5,20900000
54,2,1983,5,9,14300000
53,2,1982,4,5,18000000
70,2,1970,4,5,25000000
52,2,1980,3,5,14500000
107,3,2014,12,13,32300000
70,2,2015,3,16,29500000
59,2,1980,8,9,18000000
66,2,1971,2,5,19500000
96,3,2008,8,18,28000000
55,2,1986,3,5,20000000
70,3,1987,9,9,20000000
30,1,1968,4,4,10300000
62,3,1977,4,5,18200000
66,3,1980,9,9,18600000
43,2,1976,3,5,14700000
58,3,1961,3,4,19900000
45,2,1978,4,5,15000000
42,1,1992,2,9,11500000
36,1,1959,1,4,11500000
68,3,1986,5,5,22300000
59,2,1978,2,5,29000000
43,1,1987,1,5,11400000
44,2,1974,5,5,13000000
80,3,1975,2,6,28500000
40,1,1986,5,9,12500000
73,3,1950,3,4,26000000
52,2,1985,6,9,18350000
58,3,1970,4,5,15500000
40,2,1967,1,4,15333333
35,1,1969,3,4,17000000
31,1,1975,1,4,11300000
30,1,1965,3,4,9300000
44,1,1983,9,10,16000000
70,2,2015,3,15,30000000
59,3,1970,5,5,15500000
98,3,1986,1,5,40000000
54,2,1983,5,9,14300000
30,1,1980,4,5,10000000
33,1,1979,4,5,9900000
53,1,2001,3,9,15999990
40,1,1992,5,9,11000000
52,2,1981,4,5,18300000
63,3,1971,3,4,19000000
40,1,1987,7,9,12000000
67,3,1956,2,3,35900000
45,2,1983,5,5,24000000
62,2,2016,15,18,21700000
90,2,2017,10,16,33000000
72,4,1974,4,5,20900000
92,3,2010,15,22,29000000
52,2,1970,2,5,16900000
45,2,1978,5,5,14000000
63,2,2014,8,15,24900000
45,2,1974,5,5,13800000
61,2,2015,5,12,18000000
60,3,1972,1,4,16000000
34,1,1991,2,5,15974000
43,2,1973,4,5,14800000
91,4,1994,6,9,45000000
57,2,1959,2,2,24000000
152,4,2013,2,9,41000000
40,2,1963,2,4,14000000
73,3,1985,8,9,21000000
18,1,1972,2,5,6500000
65,3,1964,2,4,18500000
35,1,1988,2,5,14000000
33,1,1978,4,4,10400000
42,2,1970,4,4,12700000
70,3,1996,6,9,25500000
38,2,1962,2,4,11800000
80,2,2017,3,10,36000000
55,1,2017,4,10,24750000
44,2,1972,4,4,14000000
36,1,1987,2,5,14000000
152,4,2013,2,9,41000000
43,2,1969,2,4,13800000
84,4,1981,5,5,32500000
42,2,1976,3,5,13800000
42,1,1991,4,9,11900000
44,2,1969,2,4,14500000
44,2,1974,4,5,17000000
41,1,1990,6,9,12000000
68,3,1986,7,9,23399999
44,2,1972,2,4,15800000
38,1,2015,4,12,13800000
44,2,1978,4,5,15000000
44,2,1976,5,5,14000000
44,1,1983,2,5,14000000
41,1,1987,5,8,12900000
42,2,1979,4,5,15500000
125,3,2013,9,13,29000000
61,3,1972,2,5,17000000
115,3,2013,10,10,30500000
35,1,1985,2,9,13000000
145,3,2012,17,21,31500000
43,2,1978,5,5,13000000
121,3,2016,4,13,39500000
35,1,2014,2,5,13000000
53,2,1993,2,5,17000000
43,2,1974,5,5,12200000
45,2,1964,4,4,13500000
40,1,1986,7,9,14000000
40,1,1990,8,9,14500000
32,1,1972,4,5,13000000
63,3,1983,2,5,19800000
60,3,1977,4,5,20300000
35,1,1988,4,5,12000000
44,2,1976,4,4,13600000
89,4,1989,1,9,25700000
31,1,1963,4,4,11500000
40,1,2000,5,9,14000000
86,4,1960,2,3,36000000
70,3,1996,3,9,21000000
62,2,1972,5,5,22500000
45,2,1968,4,4,13000000
110,4,1981,6,8,38700000
53,2,1981,4,5,18500000
43,2,1971,4,4,14147000
70,3,1982,4,9,28000000
37,1,1980,5,5,7500000
40,1,1988,3,5,15000000
37,1,1976,2,5,15000000
60,3,1971,2,4,17661542
60,2,2014,3,10,24200000
80,3,1989,9,12,24800000
39,1,1990,8,9,13500000
63,2,1970,1,1,11000000
82,3,1989,2,5,29000000
59,3,1975,5,5,16800000
92,2,2008,10,18,28000000
45,2,1978,5,5,14150000
45,2,2017,6,13,19500000
45,2,1975,4,4,13500000
160,5,1956,2,3,86670000
